,id,guests,bedrooms,beds,baths,cleaning_fee,service_fee,amenities,superhost,lat_lon,narrative,rules,price
10,39002588,4 guests,studio,2 beds,1 bath,$32,$43,Show all 26 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.65862560411835&2d139.59463873949403&2m2&1d35.73425624134657&2d139.7507794099006&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._3uc31b&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=52524,"Translate this description to English
1.The apartment situated 0.2km from tokyo metro station nakano-sakaue which only 4 mins to shinjuku. 2.Only 1.3km from Tokyo Metropolitan Government Building and 1.7 km from Shinjuku Station. 3.Shinjuku Gyoen National Garden is 3.1 km from our Apartment 4.The nearest airport is Tokyo Haneda International Airport. 5.We offers an accommodation with a mini kitchen. 6.provide guests with 1 single and 1 double bed, TV and air conditioning and 24 hours hot water
1.The apartment situated 0.2km from tokyo metro station nakano-sakaue which only 4 mins to shinjuku.
2.Only 1.3km from Tokyo Metropolitan Government Building and 1.7 km from Shinjuku Station.
3.Shinjuku Gyoen National Garden is 3.1 km from our Apartment
4.The nearest airport is Tokyo Haneda International Airport.
5.We offers an accommodation with a mini kitchen.
6.provide guests with 1 single and 1 double bed, TV and air conditioning and 24 hours hot water
License or registration number
M130007656
Learn about this number
Contact host","House rules
Check-in is anytime after 4PM and check out by 11AM",$50
11,36396116,2 guests,1 bedroom,0 beds,2 baths,$19,$28,Show all 14 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.68025149446442&2d139.6649286572914&2m2&1d35.755860749801656&2d139.82102518443924&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._38n9nu&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=128277,"This is a private room that you can lock. 2 people maximum can stay, but for two people there is an extra fee of 2500 yen/night added onto the normal fee.
The room’s floor is carpet and is not spacious, with an area of about four and a half tatamis (7.4 m²). The toilet and showers are shared with other guests.
In consideration of the neighbours, Please only book this room if you are able to follow our rules.
Check-in: From 15:00 Check-out: 10:00
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 10AM
Self check-in with lockbox
Read all rules",$33
12,29080286,5 guests,1 bedroom,2 beds,1 bath,$47,$50,Show all 20 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.6394186876134&2d138.50202847460196&2m2&1d35.71506551947345&2d138.65820257908717&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._izyaud&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=58146,"Translate this description to English
You can use one 3LDK apartment that you just renovated in 2015 with a private charter. Space based on comfortable white. DIY painted diatomaceous earth, repaired dining table etc, we have a unique warmth of handcraft space. We also offer vintage items such as dishes and interior that the owner has stuck with collecting from around the world. It is 8 minutes by taxi from JR Kofu Station, 30 minutes from Kofu Showa IC on Chuo Expressway. Parking lot is available. Takeda Shrine, which Kofu boasts of Takeda Shingen Democracy is enshrined, is within walking distance, and Shosenkyo is also a 40-minute drive away. The neighborhood is a quiet and rich place with a rice field surrounded by the ridgelines of the mountains like the Kofu Basin. Please relax and enjoy your tiredness by all means.
2015年にﾘﾉﾍﾞｰｼｮﾝしたばかりの3LDKのﾏﾝｼｮﾝ1室をまるまる貸切でご利用いただけます｡
心地良い白を基調とした空間｡
DIYで塗った珪藻土やﾘﾍﾟｱしたﾀﾞｲﾆﾝｸﾞﾃｰﾌﾞﾙ等､ﾊﾝﾄﾞｸﾗﾌﾄならではの温かみのある空間になっております｡
また食器やｲﾝﾃﾘｱ等､ｵｰﾅｰがこだわって世界各国から集めてきたｳﾞｨﾝﾃｰｼﾞ品をご用意しております｡
Read more about the space
Contact host","House rules
No smoking
No pets
Check-in time is 3PM - 10PM and check out by 11AM
Read all rules",$56
13,37079891,2 guests,1 bedroom,1 bed,1.5 baths,$66,$70,Show all 18 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.69212261445729&2d139.64213754776256&2m2&1d35.76772085175219&2d139.7982113279843&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._qnn2wx&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=21730,"It is only a 5-minute walk from the nearest station [East Subway Ikebukuro Station]!
The room is located in a residential area in the center of Ikebukuro! There is no noise around here, it is very suitable for rest at night!
At the same time, it is close to the bustling commercial main street [Ikebukuro Sunshine Avenue] and the shopping center, just 3-5 minutes walk!

Looking forward to your arrival!
* Free WiFi provided in the room!!
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 4PM and check out by 10AM
Read all rules",$79
14,21114269,5 guests,2 bedrooms,5 beds,1 bath,$28,$55,Show all 26 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.766349065927244&2d139.63250894532405&2m2&1d35.841877459731315&2d139.78600213273228&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._t4yjcs&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=2343,"Your private use of a full-sized apartment which is a licensed accommodation. Two bedrooms and one dining room. It is right next door to a Lawson convenience store. The train takes only 30 minutes to Tokyo Station. Free bikes, Free Pocket WIFI, Free Amazon TV, and Netflix. Enjoy your stay at a popular Japanese city. The nearest station Kawaguchi (JK39) is about 800m away from here.
Shinjuku26 minutes ¥216
Shibuya 31 minutes ¥301
Tokyo 28 minutes ¥302
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Read all rules",$66
15,34875421,4 guests,1 bedroom,1 bed,1 bath,$47,$65,Show all 18 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.56729172764183&2d139.6654906997676&2m2&1d35.64300839043244&2d139.819366498342&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._xnk67a&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=24069,"Translate this description to English
1 minute walk from Sakai Station. It is a reservation of a new construction studio! Separate bathroom and toilet, with kitchen (with utensils) Long stay is also welcome! Please feel free to contact us. Walk 1 minute from Keikyu line, SAMEZU station. Easy access to Haneda Airport, Shinagawa, Tokyo. Clean and cozy accommodation up to 4 ppl.
鮫洲駅から徒歩1分｡
新築ﾜﾝﾙｰﾑの貸切です!
ﾊﾞｽﾄｲﾚ別､ｷｯﾁﾝ付き(調理器具付き)
長期滞在も大歓迎!お気軽にお問合せください｡
Walk 1 minute from Keikyu line, SAMEZU station.
Easy access to Haneda Airport, Shinagawa, Tokyo.
Clean and cozy accommodation up to 4ppl.
Read more about the space
Contact host","House rules
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 10AM
Self check-in with lockbox
Read all rules",$77
16,35203785,4 guests,1 bedroom,2 beds,1 bath,$51,$65,Show all 29 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.68371428077054&2d139.63500059578678&2m2&1d35.75932053753384&2d139.79109093233035&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._907yt6&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=109250,"Newly opened,quiet residential area ,across Ikebukuro(池袋) and Shinjuku(新宿). 
It's 5 min walk from Zoshigaya-雑司が谷- Station(Metro Fukutoshin Line-副都心線) 
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 4PM and check out by 11AM
Read all rules",$76
17,35690498,3 guests,1 bedroom,2 beds,1 bath,$58,$69,Show all 22 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.673181206882184&2d139.7315458883728&2m2&1d35.748796155081386&2d139.88765416852607&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._57tvu6&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=34206,"Newly built in June 2019, this 20㎡ apartment is located just a 4 minute walk from Tokyo Skytree, and is a 9 minute walk from Oshiage station which has direct lines to both Narita and Haneda station. It is ideally located for exploring Tokyo, and offers a delightful local flavor with locally roasted coffee beans from Unlimited Coffee Bar and a record by the Japanese artist Evis Beats to enjoy during your stay.
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in time is 3PM - 12AM (midnight) and check out by 10AM
Self check-in with lockbox
Read all rules",$80
18,19237283,3 guests,1 bedroom,2 beds,1.5 baths,$42,$67,Show all 13 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.69201058418373&2d139.68559485255832&2m2&1d35.76760858419122&2d139.84166814289642&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._deh63t&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=98904,"Translate this description to English
To narida airport35mins , To shinjuku20mins , ToTokyo station15mins , To akihabara12mins , To Ueno5mins To Asakusa20mins The nearest station: 5minsto JR nishinippori,3minstation. This central Tokyo,low price only same to the country side price,the house is near to sendagi station and nishinippori station It's localed famous 'Yanesen ' Edo character spot simple cheap place for economize persons ,不适合奢华的人,只为节约的人｡according to my price, I provided air conditioner in summer, and heater in winter.
To narida airport35mins ,
To shinjuku20mins ,
ToTokyo station15mins ,
To akihabara12mins ,
To Ueno5mins
To Asakusa20mins
The nearest station: 5minsto JR nishinippori,3minstation.
This central Tokyo,low price only same to the country side price,the house is near to sendagi station and nishinippori station It's localed famous 'Yanesen ' Edo character spot simple cheap place for
economize persons ,there are three stations nearby my house, JR Yamanote line, Tokyo metro line , and keisei line ,
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 10AM
Read all rules",$80
19,20789340,2 guests,1 bedroom,1 bed,1 bath,$25,$65,Show all 18 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.60798608482899&2d139.59033623546702&2m2&1d35.68366465116861&2d139.74413461222173&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._6mfs4r&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=112242,"Translate this description to English
No Smoking No Cooking Shoes off inside *2min walking to train(metro) station(Denentoshi line) *5 min to Shibuya, 20min to Shinjuku, 40min to Tokyo Sta by train *Cozy and nice small size room only for yourself *No Smoking Only *Susan will welcome you with great omotenashi.
No Smoking
No Cooking
Shoes off inside
*2min walking to train(metro) station(Denentoshi line)
*5 min to Shibuya, 20min to Shinjuku, 40min to Tokyo Sta by train
*Cozy and nice small size room only for yourself
*No Smoking Only
*Susan will welcome you with great omotenashi.
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets
No smoking, parties, or events
Check-in is anytime after 2PM and check out by 11AM
Self check-in with smart lock",$80
20,20668055,2 guests,studio,2 beds,1 bath,$56,$53,Show all 23 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.54004125858509&2d139.6240339449405&2m2&1d35.615783131197226&2d139.77796097637804&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._82s4hg&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=48104,"Whether you’re on a business trip or on holiday, finding affordable luxury accommodation is a challenge in Tokyo.
By focusing on the essentials, we provide the best a hotel has to offer at a fraction of the price:
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets
No smoking, parties, or events
Check-in is anytime after 4PM and check out by 10AM
Self check-in with keypad
Read all rules",$60
21,34761698,5 guests,1 bedroom,1 bed,1 bath,$28,$33,Show all 34 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.14689514004423&2d140.2782191359613&2m2&1d35.22300787139885&2d140.43289984806916&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._aa74pv&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=17702,"Translate this description to English
This is an introduction page. Please read more. This condominium can be used from 2 people. One of the resort apartments in front of the sea, the exterior of the building is old, and the room was renovated this year. The tropical image rooms are 6 tatami mats and 20 tatami mats. You can see the sea from the room and feel the sea breeze on the balcony. Secure one parking space behind the building. (Parking number 2) A 6-minute walk from Onjuku Station, you can enjoy the Satsuki Desert, ♨️ Hot Spring, Sea Bathing, and ‍♀️ Surfing nearby. 2 minutes by convenience store car. Sheets, towels, tableware, bedding, microwave ovens, electronic kettles, coffee makers, rice cookers, etc. are provided for each person. We have everything you can use for your life. Please use it freely. Introduction of Onsen ♨️ Onjuku Kuwa House is located on the first floor of the building next door. Source hot springs (included in seaweed), beautiful skin, smooth skin after bathing, but facilities are old. I recommend it. ⭐️ Katsuura villas are also available for rent. Please check Sakura's listing if you like. It is a whole house for rent. ⭐️
紹介ﾍﾟｰｼﾞです｡是非続きを読んでください｡
当ｺﾝﾄﾞﾐﾆｱﾑは2名様からご利用いただきます｡
海の目の前のﾘｿﾞｰﾄﾏﾝｼｮﾝの1室､建物の外観は古く､部屋は今年ﾘﾉﾍﾞｰｼｮﾝしました｡南国ｲﾒｰｼﾞの部屋は畳の6畳とﾘﾋﾞﾝｸﾞ20畳くらい｡部屋から海が見え､ﾊﾞﾙｺﾆｰは潮風を感じます｡建物の裏に1台の駐車場ｽ-ﾍﾟｽ確保｡(駐車番号2番)
御宿駅から歩いて6分､近く月の砂漠､♨️温泉､海水浴､‍♀️ｻｰﾌｨﾝを楽しめます｡ｺﾝﾋﾞﾆ車で2分｡
また､人数分のｼｰﾂ､ﾀｵﾙ類､食器､寝具､電子ﾚﾝｼﾞ､電子ｹﾄﾙ､ｺｰﾋｰﾒｰｶｰ､炊飯器等を準備してはあります｡生活に使う物は全て用意してます｡ご自由にお使いください｡
温泉♨️の紹介
隣の建物一階に御宿ｸﾜﾊｳｽというの温泉施設あります｡
源泉のとろみの湯(海藻に含まれ成分)美肌､入浴後肌すべすべ
ただし､設備は古い､気になる方は車で30分〜40分位の養老渓谷にある(ごりやくの湯)をｵｽｽﾒです｡
⭐️勝浦のｳﾞｨﾗも貸し出し中です｡良かったらSakuraのﾘｽﾃｨﾝｸﾞからみてください｡一棟まるまる貸しです｡⭐️
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 12PM (noon)
Self check-in with lockbox
Read all rules",$38
22,36114768,2 guests,1 bedroom,2 beds,1 bath,$28,$55,Show all 22 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d35.664828344352&2d139.6197527674858&2m2&1d35.740451441388586&2d139.77587787104517&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._a5racb&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=8948,"It simple and reasonable private double bed room.
Our house is located in Center of Tokyo and it has a great access to all different parts of Tokyo. The nearest subway is just 2 minutes by walk. There are a lot of restaurants, convenience stores and even shopping malls.
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Self check-in with keypad
Read all rules",$67
