,id,guests,bedrooms,beds,baths,cleaning_fee,service_fee,amenities,superhost,lat_lon,narrative,rules,price
10,36388983,3 guests,1 bedroom,1 bed,1 bath,$15,$13,Show all 17 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.602078281298816&2d-74.14525990878502&2m2&1d4.694898337720588&2d-73.98956174962592&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._79tvn6&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=47325,"If you are looking for a place that provides everything you may need for an excellent experience during your visit to Bogotá, this Studio located in the central and lively neighborhood of Chapinero, IS FOR YOU.
In this space I seek to recreate a cheerful and lively atmosphere, with radiant colors that will provide pleasant emotions while you are in.
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 12PM (noon)
Read all rules",$15
11,39059503,2 guests,1 bedroom,1 bed,1.5 baths,$8,$13,Show all 11 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.664543394707524&2d-74.10875651424601&2m2&1d4.757355233754978&2d-73.95307213906966&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._p2sizg&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=31254,"Apartamento de una habitación ubicado en un excelente barrio, rodeado de parques, centros comerciales y supermercados, cercano a las principales calles de la cuidad. El apartamento cuenta con dotación completa, un ambiente cálido y tranquilo.
Contact host","House rules
Not suitable for infants (under 2 years)
No smoking, parties, or events
Check-in time is 12PM (noon) - 4PM and check out by 12PM (noon)
Read all rules",$15
12,33198097,4 guests,1 bedroom,2 beds,1.5 baths,$14,$20,Show all 32 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.56637282207433&2d-74.14591725915051&2m2&1d4.65919744993289&2d-73.99021143177487&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._ihjwjy&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=55174,"This apartment is located perfectly for all types of travelers, and provides a lovely place to relax as well. The Macarena neighborhood is famous for its international cuisine, art galleries, museums, and access to the historical center of Bogota. There are also bus stops within 5 minutes walking, giving access to the rest of the city.
The location is typically quiet as well for those who want to work or relax at home.
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Self check-in with building staff
Read all rules",$24
13,29752120,2 guests,1 bedroom,1 bed,1 bath,$10,$12,Show all 35 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.5961258679932016&2d-74.14883452441933&2m2&1d4.688946650995018&2d-73.99313514648077&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._camasc&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=70428,"Translate this description to English
Beautiful studio apartments for 2 people in a recently renovated building located in the heart of CHAPINERO, the most emblematic, financial and central area of the capital. A safe district with easy access to theaters, public transportation, concert halls, cultural centers, walks, museums, world class restaurants and ... the list is truly endless! PERFECT for couples, families with kits, Only adventures that want to discover Bogotá from a central and secure base
Hermoso apartamentos tipo estudio para 2 personas en un edificio recientemente renovado ubicado en el corazón de CHAPINERO, la zona más emblemática, financiera y central de la capital.
Un distrito seguro con fácil acceso a teatros, transporte público, salas de conciertos, centros culturales, paseos, museos, restaurantes de clase mundial y...a lista es verdaderamente interminable!
PERFECTO para parejas, familias con kits, Solo aventuras que quieran descubrir Bogotá desde una base central y segura
Read more about the space
Contact host","House rules
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 3PM
Read all rules",$14
14,39085092,6 guests,studio,3 beds,3.5 baths,$70,$225,Show all 20 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.640750366125546&2d-74.12625649324923&2m2&1d4.733565373448057&2d-73.97056680354694&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._z8a57d&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=34467,"Translate this description to English
Exciting PentHouse of 240 square meters in the best residential area of Bogota, near the Rosa area.
The elevator takes you directly to the apartment. As soon as you enter you are amazed at the elegance. You will feel like you are a star of Hollywood.
Read more about the space
Contact host","House rules
No pets
No parties or events
Check-in is anytime after 3PM and check out by 12PM (noon)
Read all rules",$279
15,20392360,4 guests,2 bedrooms,3 beds,2 baths,$22,$50,Show all 21 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.634802192073522&2d-74.12390043227663&2m2&1d4.727617998245537&2d-73.96820940256873&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._3qw4n4&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=107835,"Translate this description to English
Beautiful and cozy apartment 2bdr / 2bth ""iluminated"", comfortable and well-located, close to restaurants and financial center of Bogota. Near Parque 93 and Zona T, some touristic places of the city. We include a touristic guide for the guests! Apt 2 bed / 2 bath illuminated, comfortable, near restaurants and financial center. Very well located near Parque 93 and Zona T, tourist places in the city. With modern design and inspired by color. We include illustrated guide for the guests!
Beautiful and cozy apartment 2bdr/2bth ""iluminated"", comfortable and well-located, close to restaurants and financial center of Bogotá. Near Parque 93 and Zona T, some touristic places of the city. We include a touristic guide for the guests!
Apto de 2 hab/2 bañ iluminado, cómodo, cerca de restaurantes y centro financiero. Muy bien localizado cerca de Parque 93 y Zona T, lugares turísticos de la ciudad. Con diseño moderno e inspirada en el color. Incluimos guía ilustrada para los huespedes!
Read more about the space
Contact host","House rules
No smoking, parties, or events
Check-in time is 3PM - 12AM (midnight) and check out by 12PM (noon)
Read all rules",$62
16,36079863,2 guests,1 bedroom,1 bed,1.5 baths,$6,$16,Show all 22 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.569357318058362&2d-74.15174614967054&2m2&1d4.662181745882615&2d-73.99604065783632&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._7kia9m&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=5938,"Translate this description to English
Very cozy apt beautiful view excellent location very comfortable and modern
Apto muy acogedor hermoso vista excelente ubicación muy cómodo y moderno
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 2PM and check out by 11AM
Read all rules",$20
17,39060474,3 guests,1 bedroom,2 beds,1 bath,0,$13,Show all 13 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.599091459146939&2d-74.13939037756336&2m2&1d4.691911664377118&2d-73.9836919687902&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._xfwvu&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=28220,"Translate this description to English
Apart studio super comfortable and modern two rooms, has an American-style kitchen, washing machine, microwave oven, refrigerator, sandwich maker, blender and other kitchen items, desk to work comfortably, DirectTV, hot shower, newly remodeled, has a bedroom with double bed and a sofa bed in the living room.
Aparta estudio super cómodo y moderno de dos ambientes, cuenta con cocina tipo americano, lavadora, horno microondas, nevera, sanduchera, licuadora y demás elementos de cocina, escritorio para trabajar cómodamente, DirectTV, ducha de agua caliente, recién remodelado, cuenta con una habitación con cama doble y un sofá cama en la sala.
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets
No smoking, parties, or events
Check-in time is 2PM - 9PM and check out by 12PM (noon)
Read all rules",$16
18,38521688,2 guests,1 bedroom,1 bed,1 bath,$20,$49,Show all 19 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.61694129971069&2d-74.14352620281181&2m2&1d4.709759185761943&2d-73.98783168427423&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._7nn5ab&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=512,"Translate this description to English
Luxury New Loft with amazing view of mountain and City
Luxury New Loft with amazing view of mountain and City
Read more about the space
Contact host","House rules
Not safe or suitable for children (0-12) and pets
No smoking, parties, or events
Check-in time is 3PM - 12AM (midnight) and check out by 12PM (noon)
Read all rules",$60
19,29530108,2 guests,1 bedroom,1 bed,1 bath,$14,$42,Show all 30 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.602070183008552&2d-74.13315267476173&2m2&1d4.694890076094606&2d-73.97745478958507&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._ni52f8&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=16852,"Great flat, located two blocks from the G area (Gastronomic area), around it you will find the best restaurants in the city, art galleries, bookstores and fashion stores. Two minutes walk from the financial area of Bogotá. Strategically located near major roads of the city that allows an easy and quick trip to any other area in Bogotá. It is a quiet space, very safe, modern, totally remodeled and the apartment has a unique natural lighting.
Read more about the space
Contact host","House rules
No pets
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Self check-in with smart lock
Read all rules",$52
20,30878174,4 guests,1 bedroom,1 bed,1 bath,$8,$10,Show all 29 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.596133878892874&2d-74.14896376345484&2m2&1d4.6889548236783325&2d-73.99326411413728&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._oq3rfo&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=12864,"Lindo apartamento/estudio para 4 personas, LINDO y recientemente renovado ubicado en el corazón de CHAPINERO, la zona más emblemática, financiera y central de la capital.
Un distrito seguro con fácil acceso a teatros, transporte público, centros culturales y de conciertos, paseos, museos, restaurantes de clase mundial y ...la lista es verdaderamente interminable! PERFECTO para parejas, familias con ninos y aventureros solitario que quieran descubrir Bogotá desde una lugar central y seguro.
Read more about the space
Contact host","House rules
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Read all rules",$12
21,14222178,4 guests,1 bedroom,1 bed,1 bath,$16,$28,Show all 8 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.6258678978042065&2d-74.13664402429123&2m2&1d4.718684664685714&2d-73.98095138307065&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._b4mjl9&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=24786,"Translate this description to English
Places of interest: parks, art and culture and restaurants and food. You will love my place because of the location, the people, the atmosphere and the outside areas.
Lugares de interés: parques, arte y cultura y restaurantes y comida. Te va a encantar mi lugar debido a la ubicación, la gente, el ambiente y las zonas exteriores.
Contact host","House rules
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 12PM (noon)",$33
22,37264306,5 guests,1 bedroom,1 bed,1 bath,0,$0,Show all 11 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.584219012085697&2d-74.16493841303111&2m2&1d4.677041212852944&2d-74.00923665690539&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._pavowq&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=4715,"Studio furnished wiyh kitchen , fridge, microwave oven coffee maker, with laundry place ,wi fi , cable tv , security locks, security guard 24 hours in a safe neighborhood close to american Embassy
Rental basis: Entire house or apartment
Number of bedrooms: 1; Number of other rooms with beds: 0
Read more about the space
Contact host","House rules
Check-in is anytime after 2PM and check out by 1PM
Read all rules",$30
23,654822,8 guests,4 bedrooms,4 beds,3.5 baths,0,$256,Show all 26 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.6229059745578915&2d-74.12518342754515&2m2&1d4.715723387259507&2d-73.96948970301344&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._9bb7ml&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=2409,"Prime Location Spacious High End Apartment at the Heart of Bogota. The apartment is walking distance from Andino Shopping Mall and Zona Rosa where the best restaurants, shopping and nightlife of the city is situated. We include daily cleaning service and all linen and kitchen amenities.
Read more about the space
Contact host","House rules
Self check-in with building staff
Read all rules",$330
24,30980159,2 guests,1 bedroom,1 bed,1 bath,$7,$10,Show all 31 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.5961280825974224&2d-74.14887025240557&2m2&1d4.688948910324146&2d-73.99317079944461&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._5pwhm8&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=106680,"Hermoso apartamento/estudio para 2 personas, recientemente renovado ubicado en el corazón de CHAPINERO, la zona más emblemática, financiera y central de la capital.
Un distrito seguro con fácil acceso a teatros, transporte público, centros culturales y centros de conciertos, paseos, museos, restaurantes de clase mundial y ...la lista... es verdaderamente interminable! PERFECTO para parejas, familias con nino y aventureros solitario que quieran descubrir Bogotá desde una lugar central y seguro.
Read more about the space
Contact host","House rules
No smoking, parties, or events
Check-in is anytime after 3PM and check out by 11AM
Read all rules",$12
25,33320505,2 guests,studio,1 bed,1 bath,$20,$22,Show all 34 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.593154944385501&2d-74.13423941854018&2m2&1d4.685976198150788&2d-73.97853925093386&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._8ssrs8&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=124432,"Our place is a recently renovated low rise building featuring a small number of unique boutique studio apartments located in the heart of trendy Chapinero Alto. Our neighbourhood is home to a considerable population of culture-seekers on the hunt for activities related to art and entertainment. This sector has been classified as one of the main areas of cultural interest in Bogota, and is the home of cool art-focused spaces, great gastro restaurants and hipster bars.
Read more about the space
Contact host","House rules
Not safe or suitable for infants (under 2 years) and pets
No smoking, parties, or events
Check-in time is flexible",$26
26,1720754,2 guests,1 bedroom,1 bed,1 bath,0,$52,Show all 22 amenities,True,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.63182837789769&2d-74.12422440311127&2m2&1d4.724644589736622&2d-73.96853269292978&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._b9ajcn&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=77721,"Perfectly well located apartment in fancy area of Bogotá. Fully equipped and with free breakfast and access to gym and a roof with stunning views of the Andes.
Contact host","House rules
You must also acknowledge
Security Deposit - if you damage the home, you may be charged up to $100",$67
27,27055377,2 guests,1 bedroom,1 bed,1 bath,0,$12,Show all 19 amenities,False,https://maps.googleapis.com/maps/api/js/ViewportInfoService.GetViewportInfo?1m6&1m2&1d4.584227825966806&2d-74.17106954737017&2m2&1d4.677050205199316&2d-74.01536749188341&2u14&4sen&5e0&6sm%40487000000&7b0&8e0&callback=_xdc_._hi6xmg&key=AIzaSyAytC_TusuhG7kpNQ19hMrCzXDIUjd307o&token=8460,"Translate this description to English
Comfortable apartment studio in Quinta Paredes, close to El Dorado airport, the National University, the American Embassy and the Corferias Events Center. It has private security 24/7, wi-fi, shower with hot water, microwave, washing machine, TV refrigerator and closeth in wood. The studio is for exclusive use, so it is not shared with anyone. It is located in a safe neighborhood of the hotel zone, with several restaurants (Domino's pizza, frisby, etc) and parks around it.
Comfortable apartaestudio en Quinta Paredes, cerca al aeropuerto El Dorado, la Universidad Nacional, la Embajada Americana y el Centro de eventos Corferias. Cuenta con seguridad privada 24/7, wi-fi, ducha con agua caliente, microondas, lavadora, nevera televisión y closeth en madera.
El aparta estudio es para uso exclusivo, así que no se comparte con nadie.
Está ubicado en un barrio seguro de zona hotelera, con varios restaurantes (Domino's pizza, frisby, etc) y parques a su alrededor.
Read more about the space
Contact host","House rules
Not safe or suitable for infants (under 2 years) and pets
No smoking, parties, or events
Check-in time is 12PM (noon) - 12AM (midnight) and check out by 5PM
Read all rules",$16
